symptom,ayurvedic_remedy_english,ayurvedic_remedy_kannada
cough,"Vata/Kapha imbalance. Try ginger tea, turmeric milk, avoid cold foods.","ವಾತ/ಕಫ ಅಸ್ತಬಲ. ಶುಂಠಿ ಚಹಾ, ಅರಿಶಿಣ ಹಾಲು, ತಂಪಾದ ಆಹಾರ ತಪ್ಪಿಸಿ."
cold,"Kapha-related. Try tulsi, ginger, warm fluids, avoid dairy.","ಕಫ ಸಂಬಂಧಿತ. ತುಳಸಿ, ಶುಂಠಿ, ಬಿಸಿ ದ್ರವ್ಯ, ಹಾಲು ಪದಾರ್ಥ ತಪ್ಪಿಸಿ."
fever,"Pitta imbalance. Neem, coriander tea, hydration and rest.","ಪಿತ್ತ ಅಸ್ತಬಲ. ನೀಮ್, ಕೊತ್ತಂಬರಿ ಚಹಾ, ಸಾಕಷ್ಟು ನೀರು ಕುಡಿಯಿ, ವಿಶ್ರಾಂತಿ."
indigestion,"Agni weak. Cumin tea, fennel seeds, light food.","ಅಗ್ನಿ ದುರ್ಬಲ. ಜೀರಿಗೆ ಕಷಾಯ, ಸೋಂಪು ಬೀಜ, ಹಗುರವಾದ ಆಹಾರ."
headache,"Vata/Pitta. Brahmi, herbal oil, sleep.","ವಾತ/ಪಿತ್ತ. ಬ್ರಾಹ್ಮಿ, ಹರ್ಬಲ್ ಎಣ್ಣೆ, ಉತ್ತಮ ನಿದ್ರೆ."
sore throat,"Mulethi, warm salt water gargles, basil tea.","ಮೂಲಟ್ಟಿ, ಬಿಸಿ ಉಪ್ಪು ನೀರಿನ ಗಾರ್ಗಲ್, ತುಳಸಿ ಕಷಾಯ."
body pain,"Vata. Sesame oil massage, warm bath.","ವಾತ. ಎಳ್ಳು ಎಣ್ಣೆ ಮಸಾಜ್, ಬಿಸಿ ಸ್ನಾನ."
skin rash,"Pitta/heat. Aloe vera, coconut oil, avoid spicy food.","ಪಿತ್ತ/ಹಿಟ್. ಅಲೆವೇರಾ, ತೆಂಗಿನ ಎಣ್ಣೆ, ಖಾರ ಆಹಾರ ತಪ್ಪಿಸಿ."
constipation,"Ghee, triphala, raisins, warm fluids.","ತುಪ್ಪ, ತ್ರಿಫಲಾ, ದ್ರಾಕ್ಷಿ, ಬಿಸಿ ದ್ರವ್ಯ."
migraine,"Cool compress, Brahmi, meditation.","ತಂಪು ಸಂಕುಚಿತ, ಬ್ರಾಹ್ಮಿ, ಧ್ಯಾನ."
diarrhea,"Pomegranate rind, buttermilk, rice water.","ದಾಳಿಂಬೆ ಸಿಪ್ಪೆ, ಮಜ್ಜಿಗೆ, ಅಕ್ಕಿ ನೀರು."
vomiting,"Ginger juice, lemon water, clove chew.","ಶುಂಠಿ ರಸ, ನಿಂಬೆ ನೀರು, ಲವಂಗ ಚೂರುವಿರಿ."
gas,"Ajwain water, hing, light meals.","ಓಮಂ ನೀರು, ಹಿಂಗು, ಹಗುರ ಊಟ."
sinus,"Steam inhalation, eucalyptus oil, turmeric milk.","ಹಬೆ ಇನ್ಹೇಲೇಷನ್, ಯೂಕಲಿಪ್ಟಸ್ ಎಣ್ಣೆ, ಅರಿಶಿಣ ಹಾಲು."
throat pain,"Licorice, salt water gargle, clove.","ಯಷ್ಟಿಮಧು, ಉಪ್ಪು ನೀರು ಗಾರ್ಗಲ್, ಲವಂಗ."
joint pain,"Turmeric, warm oil massage, ginger tea.","ಅರಿಶಿಣ, ಬಿಸಿ ಎಣ್ಣೆ ಮಸಾಜ್, ಶುಂಠಿ ಚಹಾ."
back pain,"Mahanarayana oil massage, yoga stretches.","ಮಹಾನಾರಾಯಣ ಎಣ್ಣೆ ಮಸಾಜ್, ಯೋಗ ಸ್ಟ್ರೆಚ್."
mouth ulcer,"Coconut oil swishing, mulethi, honey.","ತೆಂಗಿನ ಎಣ್ಣೆ ಸ್ವಿಶಿಂಗ್, ಮೂಲಟ್ಟಿ, ಜೇನು."
eye strain,"Rose water drops, triphala ghrita.","ಗುಲಾಬಿ ನೀರು ಹನಿಗಳು, ತ್ರಿಫಲಾ ಘೃತ."
dizziness,"Ginger, coriander, adequate fluids.","ಶುಂಠಿ, ಕೊತ್ತಂಬರಿ, ಸಾಕಷ್ಟು ದ್ರವ್ಯ."
burning urination,"Coriander seed water, gokshura, barley water.","ಕೊತ್ತಂಬರಿ ಬೀಜ ನೀರು, ಗೋಕ್ಷುರ, ಜೋಳ (ಬಾರ್ಲಿ) ನೀರು."
